length,sample_id,plaintext_file,key_file,plaintext_length,key_valid,plausibility,matches_teacher_example,matching_chars,matching_percent,key_matches_teacher_example
500,12,text_500_sample_12_plaintext.txt,text_500_sample_12_key.txt,500,True,-2581.443885,N/A,N/A,N/A,N/A
500,13,text_500_sample_13_plaintext.txt,text_500_sample_13_key.txt,500,True,-2649.298699,N/A,N/A,N/A,N/A
500,14,text_500_sample_14_plaintext.txt,text_500_sample_14_key.txt,500,True,-2587.734249,N/A,N/A,N/A,N/A
500,15,text_500_sample_15_plaintext.txt,text_500_sample_15_key.txt,500,True,-2637.108605,N/A,N/A,N/A,N/A
500,16,text_500_sample_16_plaintext.txt,text_500_sample_16_key.txt,500,True,-2691.315095,N/A,N/A,N/A,N/A
500,17,text_500_sample_17_plaintext.txt,text_500_sample_17_key.txt,500,True,-2702.766308,N/A,N/A,N/A,N/A
500,18,text_500_sample_18_plaintext.txt,text_500_sample_18_key.txt,500,True,-2610.774186,N/A,N/A,N/A,N/A
500,19,text_500_sample_19_plaintext.txt,text_500_sample_19_key.txt,500,True,-2628.744870,N/A,N/A,N/A,N/A
500,1,text_500_sample_1_plaintext.txt,text_500_sample_1_key.txt,500,True,-2652.262402,N/A,N/A,N/A,N/A
500,20,text_500_sample_20_plaintext.txt,text_500_sample_20_key.txt,500,True,-2670.597487,N/A,N/A,N/A,N/A
500,2,text_500_sample_2_plaintext.txt,text_500_sample_2_key.txt,500,True,-2583.305062,N/A,N/A,N/A,N/A
500,3,text_500_sample_3_plaintext.txt,text_500_sample_3_key.txt,500,True,-2634.823380,N/A,N/A,N/A,N/A
500,4,text_500_sample_4_plaintext.txt,text_500_sample_4_key.txt,500,True,-2559.337763,N/A,N/A,N/A,N/A
500,5,text_500_sample_5_plaintext.txt,text_500_sample_5_key.txt,500,True,-2698.665057,N/A,N/A,N/A,N/A
500,6,text_500_sample_6_plaintext.txt,text_500_sample_6_key.txt,500,True,-2701.398232,N/A,N/A,N/A,N/A
500,7,text_500_sample_7_plaintext.txt,text_500_sample_7_key.txt,500,True,-2934.022712,N/A,N/A,N/A,N/A
500,8,text_500_sample_8_plaintext.txt,text_500_sample_8_key.txt,500,True,-2626.736408,N/A,N/A,N/A,N/A
500,9,text_500_sample_9_plaintext.txt,text_500_sample_9_key.txt,500,True,-2610.255604,N/A,N/A,N/A,N/A
